date,Rt_mean,Rt_median,Rt_lower,Rt_upper,Rt_lower50,Rt_upper50
2015-11-09,1.01189429714,1.00740655,0.85565703475,1.19042898,0.9523778025,1.066045775
2015-11-16,1.033985447315,1.02865505,0.8748787372500001,1.21691587,0.9745025174999999,1.08930965
2015-11-23,1.1048430421225,1.0994457,0.93435965575,1.3020353700000002,1.0407395,1.1624033249999999
2015-11-30,1.1772261883875,1.1730932,0.9988046705,1.3872711575,1.1095521499999998,1.238270125
2015-12-07,1.28720184243,1.28225535,1.0971480375,1.5096351675,1.213789175,1.3547005
2015-12-14,1.427619057325,1.4213987000000001,1.22250305,1.668784565,1.3475474250000001,1.5003908250000002
2015-12-21,1.557661833625,1.55086215,1.3379454725,1.81518776,1.471290225,1.6399559250000002
2016-01-04,1.618202938725,1.61044485,1.3893717425,1.89341524,1.530912475,1.697915425
2016-01-11,1.596972691775,1.5892135,1.3562834124999998,1.8729001,1.5077001499999998,1.67863965
2016-01-18,1.4460684824,1.440019,1.24229665,1.6968869,1.367000125,1.5176454750000001
2016-01-25,1.265719329025,1.2612974499999998,1.0827517899999999,1.4787870025,1.196642825,1.3281778499999999
2016-02-01,1.0781880773175,1.072622,0.920409378,1.2579101300000002,1.01792435,1.134720275
2016-02-08,0.9464608867875,0.94159856,0.80676907825,1.1021182475,0.8940169849999999,0.9955916899999999
2016-02-15,0.858139468025,0.8538789250000001,0.729806757,1.0047928375,0.8103754274999999,0.9035188175
2016-02-22,0.8156814481175,0.8133162949999999,0.696508014,0.953579781,0.7699470825,0.8588917125000001
2016-02-29,0.80702141176,0.8033373699999999,0.68813745675,0.94138692025,0.7618430274999999,0.84911303
2016-03-07,0.81087347113,0.80771985,0.6884643457499999,0.9493243415,0.763382655,0.85507841
2016-03-14,0.8085106349325,0.805307735,0.6860318895,0.945841766,0.7612472025,0.8518717975
2016-03-21,0.790767555595,0.78815291,0.66887493725,0.9307635702500001,0.7447578225,0.8333936625
2016-03-28,0.7606073461425,0.757769835,0.6468773005,0.89202869225,0.7172861875000001,0.800050045
2016-04-04,0.73914095596,0.736779035,0.62908547525,0.8664930905,0.6977716500000001,0.7783646249999999
2016-04-11,0.735473765815,0.732646965,0.6265038475,0.8595556050000001,0.692253125,0.7758378825000001
2016-04-18,0.747942003685,0.7433872699999999,0.6334856875,0.8807927507500001,0.7054496325,0.7881578975
2016-04-25,0.7697543840625,0.766916845,0.6529485027499999,0.9069646897500001,0.7245831224999999,0.8110345400000001
2016-05-02,0.80954327113,0.80621348,0.68893911075,0.9491915172500001,0.76209446,0.853928085
2016-05-09,0.8410805413125,0.837586655,0.715808038,0.98871256575,0.79336411,0.8839994149999999
2016-05-16,0.870272912675,0.86582576,0.7413691515,1.0197573425,0.8215392625,0.91629468
2016-05-23,0.91802504839,0.91425939,0.78430212575,1.0767562650000002,0.863899675,0.9650179699999999
2016-05-30,0.9372674130674999,0.933491745,0.7967426715,1.10551695,0.8822929799999999,0.986631905
2016-06-06,0.9892880227375,0.9862539749999999,0.8386757335,1.1603041175,0.9316502325,1.0417501
2016-06-13,1.0559539213125,1.05152285,0.88398847675,1.258660315,0.98850362,1.118058
2016-06-20,1.08762408476,1.08591675,0.9168054487499999,1.2759282275000001,1.026158825,1.14501905
2016-06-27,1.14757089142,1.14472025,0.9713645202500001,1.3420220200000001,1.0812834,1.2089378249999998
