EF,S_init,reset_at_switch,cross_immunity_years,include_births,include_waning,S_eff_min,S_eff_max,S_eff_range,S_dom_min,S_dom_max,S_dom_range,log_S_eff_range,log_S_dom_range,gp_alpha_median,ratio_to_gp,explains_gp
14,0.75,TRUE,0,FALSE,FALSE,0.6888655305438235,0.75,0.06113446945617651,0.6785796363636367,0.75,0.07142036363636328,0.08502712068335216,0.10007136293635444,0.30407597,0.3290998724310719,FALSE
14,0.75,TRUE,0,TRUE,TRUE,0.7016926107191398,0.7605909301923124,0.05889831947317259,0.6891836483854752,0.7710379454441009,0.08185429705862568,0.08060023921823706,0.11222980936064353,0.30407597,0.3690847697062137,FALSE
14,0.95,FALSE,0,FALSE,FALSE,0.8177651841054123,0.95,0.13223481589458763,0.8105727272727268,0.95,0.13942727272727318,0.1498867501975622,0.15872091607775368,0.30407597,0.5219778336241226,FALSE
14,0.95,FALSE,0,TRUE,TRUE,0.8848903285042149,0.95278329834503,0.06789296984081505,0.8779879630811155,0.9771560147500257,0.09916805166891018,0.07392377412772463,0.10701344279174907,0.30407597,0.35192995616111683,FALSE
14,0.95,TRUE,0,FALSE,FALSE,0.8888655305438236,0.95,0.0611344694561764,0.8785796363636367,0.95,0.07142036363636328,0.0665160197523077,0.07815543069046103,0.30407597,0.2570260013984697,FALSE
14,0.95,TRUE,0,TRUE,TRUE,0.900562573485864,0.9593596606933775,0.05879708720751353,0.8882511865325933,0.9685154531292702,0.08026426659667696,0.06324639210082092,0.08650986774515478,0.30407597,0.2845008362389004,FALSE
20,0.5,FALSE,0,FALSE,FALSE,0.3110931201505891,0.5,0.1889068798494109,0.30081818181818143,0.5,0.19918181818181857,0.47451580935461635,0.5081020632989514,0.30407597,1.6709707883163256,TRUE
20,0.5,FALSE,0,TRUE,TRUE,0.3931949683005688,0.5027417650003526,0.10954679669978379,0.38323874745050107,0.5314897850936087,0.1482510376431076,0.24577105721176373,0.327025822121332,0.30407597,1.0754740735393595,TRUE
20,0.5,TRUE,0,FALSE,FALSE,0.41266504363403345,0.5,0.08733495636596655,0.3979709090909092,0.5,0.10202909090909079,0.19197186688895462,0.22822918854556729,0.30407597,0.7505663421728699,FALSE
20,0.5,TRUE,0,TRUE,TRUE,0.42695387602759394,0.5107328136418725,0.08377893761427857,0.4097895073441373,0.5210459303460476,0.1112564230019103,0.17917059515091027,0.24019456477799173,0.30407597,0.7899162988051694,FALSE
20,0.75,FALSE,0,FALSE,FALSE,0.5610931201505889,0.75,0.18890687984941112,0.5508181818181807,0.75,0.19918181818181935,0.29018632520916254,0.3086684303837398,0.30407597,1.0151030033176902,TRUE
20,0.75,FALSE,0,TRUE,TRUE,0.6351491643603976,0.7520216295371476,0.11687246517674998,0.6251371127583634,0.7772283223992938,0.15209120964093048,0.16890521040706735,0.21776315233415672,0.30407597,0.71614719286814,FALSE
20,0.75,TRUE,0,FALSE,FALSE,0.6626650436340331,0.75,0.08733495636596689,0.6479709090909086,0.75,0.1020290909090914,0.12380355722936276,0.14622740456404681,0.30407597,0.48089102392420824,FALSE
20,0.75,TRUE,0,TRUE,TRUE,0.6755413294859981,0.7591937267682041,0.08365239728220597,0.6586239300280333,0.767892814952508,0.10926888492447473,0.11674264523575828,0.1534974555698121,0.30407597,0.5047996905832846,FALSE
20,0.95,FALSE,0,FALSE,FALSE,0.7610931201505888,0.95,0.18890687984941112,0.7508181818181806,0.95,0.19918181818181935,0.2217062687122615,0.2352984635822416,0.30407597,0.7738147265706055,FALSE
20,0.95,FALSE,0,TRUE,TRUE,0.8287125212082611,0.9514509715332838,0.12273845032502273,0.8186558050046535,0.9738191522438403,0.1551633472391868,0.138114840656223,0.1735618780799573,0.30407597,0.5707845907059256,FALSE
20,0.95,TRUE,0,FALSE,FALSE,0.8626650436340332,0.95,0.08733495636596678,0.8479709090909086,0.95,0.1020290909090914,0.09643549905708305,0.11361565470844907,0.30407597,0.3736423325672498,FALSE
20,0.95,TRUE,0,TRUE,TRUE,0.8744112922527217,0.9579624572692689,0.08355116501654714,0.8576914681751505,0.9653703226376776,0.10767885446252712,0.091257737482624,0.11826734113591535,0.30407597,0.38894010972295956,FALSE
