Year,Week,date,Month,D1_prop,D2_prop,D3_prop,D4_prop
2017,26,2017-06-26,2017-06,0.17064846416382254,0.5972696245733788,0.20819112627986347,0.023890784982935155
2017,27,2017-07-03,2017-07,0.2532467532467532,0.5454545454545454,0.1461038961038961,0.05519480519480519
2017,28,2017-07-10,2017-07,0.2532467532467532,0.5454545454545454,0.1461038961038961,0.05519480519480519
2017,29,2017-07-17,2017-07,0.2532467532467532,0.5454545454545454,0.1461038961038961,0.05519480519480519
2017,30,2017-07-24,2017-07,0.2532467532467532,0.5454545454545454,0.1461038961038961,0.05519480519480519
2017,31,2017-07-31,2017-07,0.2532467532467532,0.5454545454545454,0.1461038961038961,0.05519480519480519
2017,32,2017-08-07,2017-08,0.11442786069651742,0.7164179104477612,0.11442786069651742,0.05472636815920398
2017,33,2017-08-14,2017-08,0.11442786069651742,0.7164179104477612,0.11442786069651742,0.05472636815920398
2017,34,2017-08-21,2017-08,0.11442786069651742,0.7164179104477612,0.11442786069651742,0.05472636815920398
2017,35,2017-08-28,2017-08,0.11442786069651742,0.7164179104477612,0.11442786069651742,0.05472636815920398
2017,36,2017-09-04,2017-09,0.22772277227722773,0.38613861386138615,0.19306930693069307,0.19306930693069307
2017,37,2017-09-11,2017-09,0.22772277227722773,0.38613861386138615,0.19306930693069307,0.19306930693069307
2017,38,2017-09-18,2017-09,0.22772277227722773,0.38613861386138615,0.19306930693069307,0.19306930693069307
2017,39,2017-09-25,2017-09,0.22772277227722773,0.38613861386138615,0.19306930693069307,0.19306930693069307
2017,40,2017-10-02,2017-10,0.2120253164556962,0.2911392405063291,0.13924050632911392,0.3575949367088608
2017,41,2017-10-09,2017-10,0.2120253164556962,0.2911392405063291,0.13924050632911392,0.3575949367088608
2017,42,2017-10-16,2017-10,0.2120253164556962,0.2911392405063291,0.13924050632911392,0.3575949367088608
2017,43,2017-10-23,2017-10,0.2120253164556962,0.2911392405063291,0.13924050632911392,0.3575949367088608
2017,44,2017-10-30,2017-10,0.2120253164556962,0.2911392405063291,0.13924050632911392,0.3575949367088608
2017,45,2017-11-06,2017-11,0.24705882352941178,0.3411764705882353,0.20588235294117646,0.20588235294117646
2017,46,2017-11-13,2017-11,0.24705882352941178,0.3411764705882353,0.20588235294117646,0.20588235294117646
2017,47,2017-11-20,2017-11,0.24705882352941178,0.3411764705882353,0.20588235294117646,0.20588235294117646
2017,48,2017-11-27,2017-11,0.24705882352941178,0.3411764705882353,0.20588235294117646,0.20588235294117646
2017,49,2017-12-04,2017-12,0.3463414634146341,0.23414634146341465,0.3073170731707317,0.11219512195121951
2017,50,2017-12-11,2017-12,0.3463414634146341,0.23414634146341465,0.3073170731707317,0.11219512195121951
2017,51,2017-12-18,2017-12,0.3463414634146341,0.23414634146341465,0.3073170731707317,0.11219512195121951
2017,52,2017-12-25,2017-12,0.3463414634146341,0.23414634146341465,0.3073170731707317,0.11219512195121951
2018,1,2018-01-01,2018-01,0.42084942084942084,0.19305019305019305,0.32432432432432434,0.06177606177606178
2018,2,2018-01-08,2018-01,0.42084942084942084,0.19305019305019305,0.32432432432432434,0.06177606177606178
2018,3,2018-01-15,2018-01,0.42084942084942084,0.19305019305019305,0.32432432432432434,0.06177606177606178
2018,4,2018-01-22,2018-01,0.42084942084942084,0.19305019305019305,0.32432432432432434,0.06177606177606178
2018,5,2018-01-29,2018-01,0.42084942084942084,0.19305019305019305,0.32432432432432434,0.06177606177606178
2018,6,2018-02-05,2018-02,0.19205298013245034,0.36423841059602646,0.41721854304635764,0.026490066225165563
2018,7,2018-02-12,2018-02,0.19205298013245034,0.36423841059602646,0.41721854304635764,0.026490066225165563
2018,8,2018-02-19,2018-02,0.19205298013245034,0.36423841059602646,0.41721854304635764,0.026490066225165563
2018,9,2018-02-26,2018-02,0.19205298013245034,0.36423841059602646,0.41721854304635764,0.026490066225165563
2018,10,2018-03-05,2018-03,0.027210884353741496,0.5714285714285714,0.29931972789115646,0.10204081632653061
2018,11,2018-03-12,2018-03,0.027210884353741496,0.5714285714285714,0.29931972789115646,0.10204081632653061
2018,12,2018-03-19,2018-03,0.027210884353741496,0.5714285714285714,0.29931972789115646,0.10204081632653061
2018,13,2018-03-26,2018-03,0.027210884353741496,0.5714285714285714,0.29931972789115646,0.10204081632653061
2018,14,2018-04-02,2018-04,0.0,0.5,0.48854961832061067,0.011450381679389313
2018,15,2018-04-09,2018-04,0.0,0.5,0.48854961832061067,0.011450381679389313
2018,16,2018-04-16,2018-04,0.0,0.5,0.48854961832061067,0.011450381679389313
2018,17,2018-04-23,2018-04,0.0,0.5,0.48854961832061067,0.011450381679389313
2018,18,2018-04-30,2018-04,0.0,0.5,0.48854961832061067,0.011450381679389313
2018,19,2018-05-07,2018-05,0.0311284046692607,0.5447470817120622,0.38132295719844356,0.042801556420233464
2018,20,2018-05-14,2018-05,0.0311284046692607,0.5447470817120622,0.38132295719844356,0.042801556420233464
2018,21,2018-05-21,2018-05,0.0311284046692607,0.5447470817120622,0.38132295719844356,0.042801556420233464
2018,22,2018-05-28,2018-05,0.0311284046692607,0.5447470817120622,0.38132295719844356,0.042801556420233464
2018,23,2018-06-04,2018-06,0.2454212454212454,0.3516483516483517,0.326007326007326,0.07692307692307693
2018,24,2018-06-11,2018-06,0.2454212454212454,0.3516483516483517,0.326007326007326,0.07692307692307693
2018,25,2018-06-18,2018-06,0.2454212454212454,0.3516483516483517,0.326007326007326,0.07692307692307693
2018,26,2018-06-25,2018-06,0.2454212454212454,0.3516483516483517,0.326007326007326,0.07692307692307693
2018,27,2018-07-02,2018-07,0.3053435114503817,0.46946564885496184,0.17557251908396945,0.04961832061068702
2018,28,2018-07-09,2018-07,0.3053435114503817,0.46946564885496184,0.17557251908396945,0.04961832061068702
2018,29,2018-07-16,2018-07,0.3053435114503817,0.46946564885496184,0.17557251908396945,0.04961832061068702
2018,30,2018-07-23,2018-07,0.3053435114503817,0.46946564885496184,0.17557251908396945,0.04961832061068702
2018,31,2018-07-30,2018-07,0.3053435114503817,0.46946564885496184,0.17557251908396945,0.04961832061068702
2018,32,2018-08-06,2018-08,0.3535714285714286,0.4785714285714286,0.1,0.06785714285714285
2018,33,2018-08-13,2018-08,0.3535714285714286,0.4785714285714286,0.1,0.06785714285714285
2018,34,2018-08-20,2018-08,0.3535714285714286,0.4785714285714286,0.1,0.06785714285714285
2018,35,2018-08-27,2018-08,0.3535714285714286,0.4785714285714286,0.1,0.06785714285714285
2018,36,2018-09-03,2018-09,0.48917748917748916,0.4199134199134199,0.06926406926406926,0.021645021645021644
2018,37,2018-09-10,2018-09,0.48917748917748916,0.4199134199134199,0.06926406926406926,0.021645021645021644
2018,38,2018-09-17,2018-09,0.48917748917748916,0.4199134199134199,0.06926406926406926,0.021645021645021644
2018,39,2018-09-24,2018-09,0.48917748917748916,0.4199134199134199,0.06926406926406926,0.021645021645021644
