date,cases,temp_std,rain_std
2013-02-04,293,-0.7360826330243354,1.438505549048996
2013-02-11,322,-1.8010048986470701,2.4781870787276
2013-02-18,247,-0.9781104206658672,-0.11255028350084305
2013-02-25,296,-0.4456492878544998,-0.7221355452016532
2013-03-04,249,-1.9623567570747564,1.4791445664957166
2013-03-11,273,-2.6077641907855025,3.975057554681811
2013-03-18,308,-1.0103807923514043,-0.03465883339462839
2013-03-25,307,-0.5263252170683451,3.3824052169171352
2013-04-01,316,-0.058404827628052346,-0.6679501886060256
2013-04-08,406,0.24816370338455393,-0.6273111711593049
2013-04-15,492,0.7806248361959253,0.28368013660468355
2013-04-22,509,0.7483544645103839,-0.2988124467983128
2013-04-29,538,0.6031377919254641,1.7432981798994014
2013-05-06,547,0.07067665911410083,-0.7221355452016532
2013-05-13,558,0.5870026060826975,0.1583764994772948
2013-05-20,611,-0.12294557099912692,0.009366768839319032
2013-05-27,640,0.5708674202399269,-0.1531893009475637
2013-06-03,746,0.05454147327133018,2.220806634898369
2013-06-10,814,0.9419766946236117,0.791667854688692
2013-06-17,809,0.23202851754178727,-0.43766242307460845
2013-06-24,842,-0.20362150021297215,1.8076432908567088
2013-07-01,806,-0.17135112852743087,0.8187605329865058
2013-07-08,678,1.9100878451897345,-0.5934453232870377
2013-07-15,541,2.3780082346300233,-0.1701222248836973
2013-07-22,390,0.8128952078814585,-0.47152827094687566
2013-07-29,306,0.21589333169902064,-0.566352644989224
2013-08-05,289,-0.7199474471815688,0.46316913032769985
2013-08-12,256,-0.38110854448342524,0.8255337025609594
2013-08-19,378,0.022271101585792888,1.2048311987303524
2013-08-26,341,-0.2197566860557388,0.18208259298788196
2013-09-02,386,-0.7199474471815688,2.186940787026102
2013-09-09,452,-0.058404827628052346,-0.22430758147932492
2013-09-16,339,0.5547322343971602,-0.35977097296839383
2013-09-23,376,0.006135915743022238,-0.35977097296839383
2013-09-30,406,-1.849410456175378,1.0321153745817893
2013-10-07,441,-0.8651641197664887,-0.6611770190315721
2013-10-14,438,0.5870026060826975,0.9711568484117084
2013-10-21,374,0.08681184495686747,2.2038737109622355
2013-10-28,495,-0.17135112852743087,0.1211240668178008
2013-11-04,458,0.31270444675562853,0.28368013660468355
2013-11-11,402,-0.10681038515635627,5.25857318904074
2013-11-18,444,-0.8167585622381807,0.5512203347955945
2013-11-25,365,-0.9458400489803298,1.3538409293683278
2013-12-02,372,-0.9942456065086338,2.2953115002173567
2013-12-09,347,-1.3814900667350853,0.7848946851142385
2013-12-16,381,-0.17135112852743087,-0.6544038494571187
2013-12-23,371,-1.2685437658357028,1.452051888197903
2013-12-30,414,-2.575493819099969,4.63882817297825
2014-01-06,437,-0.9781104206658672,1.231923877028166
2014-01-13,479,-1.5105715534772344,2.2038737109622355
2014-01-20,401,-1.4621659959489266,-0.6171514167976249
2014-01-27,336,-1.204003022464628,2.5154395113870938
2014-02-03,234,-1.7525993411187661,0.5004215629871939
2014-02-10,274,-1.9300863853892192,-0.10239052913916286
2014-02-17,369,-2.5593586332572023,-0.7221355452016532
2014-02-24,194,-2.1721141730307507,-0.7221355452016532
2014-03-03,187,-1.4944363676344639,-0.711975790839973
2014-03-10,210,-0.28429742942681335,-0.7221355452016532
2014-03-17,225,-0.3649733586406546,-0.7221355452016532
2014-03-24,210,-0.5101900312255744,-0.7221355452016532
2014-03-31,225,-0.2681622435840427,-0.7221355452016532
